,addrcode,Week,Year,DF_1,DF_0,DF_wm1,DF_wm2,DF_wm3,DF_wm4,DF_wm5,DF_wm6,DFma_1,DFma_0,DFma_wm1,DFma_wm2,DFma_wm3,DFma_wm4,DFma_wm5,DFma_wm6,RF_wm6,LST_wm4,bin,bowl,bucket,misc_short,jar,pottedplant,tire,misc_tall,total,image/area
0,1001,15,2014,0.0,0.0,0.0,0.0,0.197207541,0.197207541,0.0,0.0,0.131471694,0.0,0.0,0.065735847,0.131471694,0.131471694,0.065735847,0.0,0.010977774,4.410540847,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
1,1001,16,2014,0.394415082,0.0,0.0,0.0,0.0,0.197207541,0.197207541,0.0,0.131471694,0.131471694,0.0,0.0,0.065735847,0.131471694,0.131471694,0.065735847,0.07040312,4.347273658,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
2,1001,17,2014,0.0,0.394415082,0.0,0.0,0.0,0.0,0.197207541,0.197207541,0.131471694,0.131471694,0.131471694,0.0,0.0,0.065735847,0.131471694,0.131471694,0.0,4.421014514,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
3,1001,18,2014,0.0,0.0,0.394415082,0.0,0.0,0.0,0.0,0.197207541,0.197207541,0.131471694,0.131471694,0.131471694,0.0,0.0,0.065735847,0.131471694,0.87990115,4.620772444,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
4,1001,19,2014,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.0,0.0,0.262943388,0.197207541,0.131471694,0.131471694,0.131471694,0.0,0.0,0.065735847,2.640455352,4.728712164,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
5,1001,20,2014,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.0,0.328679235,0.262943388,0.197207541,0.131471694,0.131471694,0.131471694,0.0,0.0,0.0,4.595013457,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
6,1001,21,2014,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.0,0.197207541,0.328679235,0.262943388,0.197207541,0.131471694,0.131471694,0.131471694,0.0,1.24515023,4.398338102,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
7,1001,22,2014,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.0,0.131471694,0.197207541,0.328679235,0.262943388,0.197207541,0.131471694,0.131471694,0.131471694,0.0,4.55581161,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
8,1001,23,2014,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.394415082,0.131471694,0.131471694,0.197207541,0.328679235,0.262943388,0.197207541,0.131471694,0.131471694,0.7617772970000001,4.655137837,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
9,1001,24,2014,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.0,0.065735847,0.131471694,0.131471694,0.197207541,0.328679235,0.262943388,0.197207541,0.131471694,0.21892889,4.49830919,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
10,1001,25,2014,0.0,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.065735847,0.065735847,0.131471694,0.131471694,0.197207541,0.328679235,0.262943388,0.197207541,0.628891094,4.5821304210000005,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
11,1001,26,2014,0.0,0.0,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.591622624,0.0,0.065735847,0.065735847,0.131471694,0.131471694,0.197207541,0.328679235,0.262943388,0.315097196,4.640019048,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
12,1001,27,2014,0.0,0.0,0.0,0.197207541,0.0,0.197207541,0.197207541,0.197207541,0.0,0.0,0.065735847,0.065735847,0.131471694,0.131471694,0.197207541,0.328679235,0.17677223399999994,4.569258014,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
13,1001,28,2014,0.0,0.0,0.0,0.0,0.197207541,0.0,0.197207541,0.197207541,0.0,0.0,0.0,0.065735847,0.065735847,0.131471694,0.131471694,0.197207541,0.247877129,4.554699049,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
14,1001,29,2014,0.0,0.0,0.0,0.0,0.0,0.197207541,0.0,0.197207541,0.0,0.0,0.0,0.0,0.065735847,0.065735847,0.131471694,0.131471694,2.143122099,4.65522996,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
15,1001,30,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.197207541,0.0,0.0,0.0,0.0,0.0,0.0,0.065735847,0.065735847,0.131471694,2.252699329,4.677378437,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
16,1001,31,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197207541,0.065735847,0.0,0.0,0.0,0.0,0.0,0.065735847,0.065735847,2.262298615,4.568506857,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
17,1001,32,2014,0.197207541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.197207541,0.065735847,0.0,0.0,0.0,0.0,0.0,0.065735847,0.297101667,4.370315018,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
18,1001,33,2014,0.394415082,0.197207541,0.0,0.0,0.0,0.0,0.0,0.0,0.197207541,0.197207541,0.065735847,0.0,0.0,0.0,0.0,0.0,0.008170672,4.301913747,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
19,1001,34,2014,0.0,0.394415082,0.197207541,0.0,0.0,0.0,0.0,0.0,0.131471694,0.197207541,0.197207541,0.065735847,0.0,0.0,0.0,0.0,0.163463563,4.400329375,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
20,1001,35,2014,0.0,0.0,0.394415082,0.197207541,0.0,0.0,0.0,0.0,0.0,0.131471694,0.197207541,0.197207541,0.065735847,0.0,0.0,0.0,0.952710357,4.3308828639999986,0.06611777234361442,0.03444426914885224,0.2015224422181904,0.028902737240672084,0.008710657095527333,0.6109036049538534,0.03998777313244459,0.009897846493649918,1.0004890747022166,100.0
