KRABI_NAKH,X,Y,MOD11C2_20
0,100.146063261,8.31483074665,15334.0
1,100.039296104,8.2134727984,15259.0
2,100.184946737,8.24597145074,15264.0
3,99.9613538546,8.44909131242,15326.0
4,99.6304563311,8.41108263944,15091.0
5,99.9663605763,8.43429046869,15326.0
6,99.9237656918,8.42713494651,15339.0
7,99.504279774,8.39090578517,15227.0
8,99.9139319362,8.47207797774,15322.0
9,99.9526069244,8.39847622667,15309.0
10,99.9179446213,8.37122022425,15258.0
11,99.5004771487,8.5326942602,15172.0
12,99.8839685712,8.56156767713,15257.0
13,100.012307606,8.44320042718,15267.0
14,99.8792246733,8.664989458,15301.0
15,99.8849907525,8.00915259593,15239.0
16,99.909545107,8.0351190874,15247.0
17,99.960160418,7.97349415485,15422.0
18,99.877872103,9.0103030219,15259.0
19,98.962972508,7.83620064015,15057.0
20,98.9064480901,8.0894902489,15150.0
21,100.222057406,8.15728437627,15377.0
22,99.6885189229,8.16828189335,15266.0
23,100.197168301,8.15574993602,15297.0
24,100.246572214,8.10654372602,15395.0
