KRABI_NAKH,X,Y,MOD11C2_20
0,100.146063261,8.31483074665,15274.0
1,100.039296104,8.2134727984,15323.0
2,100.184946737,8.24597145074,15111.0
3,99.9613538546,8.44909131242,15254.0
4,99.6304563311,8.41108263944,-9999.0
5,99.9663605763,8.43429046869,15254.0
6,99.9237656918,8.42713494651,15319.0
7,99.504279774,8.39090578517,-9999.0
8,99.9139319362,8.47207797774,15502.0
9,99.9526069244,8.39847622667,-9999.0
10,99.9179446213,8.37122022425,15168.0
11,99.5004771487,8.5326942602,-9999.0
12,99.8839685712,8.56156767713,15142.0
13,100.012307606,8.44320042718,15275.0
14,99.8792246733,8.664989458,14863.0
15,99.8849907525,8.00915259593,15134.0
16,99.909545107,8.0351190874,15154.0
17,99.960160418,7.97349415485,15182.0
18,99.877872103,9.0103030219,15194.0
19,98.962972508,7.83620064015,14976.0
20,98.9064480901,8.0894902489,15139.0
21,100.222057406,8.15728437627,14877.0
22,99.6885189229,8.16828189335,15134.0
23,100.197168301,8.15574993602,14962.0
24,100.246572214,8.10654372602,15233.0
