POINT_BANG,X,Y,MOD11C2_20
0,100.773133535,13.8512024941,-9999.0
1,100.745101685,13.8529962881,-9999.0
2,100.547002765,13.7545254811,15668.0
3,100.497556366,13.7595788722,15688.0
4,100.475634063,13.7521615498,15688.0
5,100.492151394,13.7512280636,15688.0
6,100.529770716,13.7630430098,15668.0
7,100.503045965,13.761822636,15668.0
8,100.538408182,13.7573163195,15668.0
9,100.494662802,13.761895874,15688.0
10,100.481251675,13.7588328289,15688.0
11,100.585996523,13.7515581026,15651.0
12,100.510667602,13.7588747831,15668.0
13,100.629576885,13.8976550732,-9999.0
14,100.672300751,13.8963130805,-9999.0
15,100.5800601,13.8714663258,-9999.0
16,100.505483589,13.764769074,15668.0
17,100.501439816,13.757277497,15668.0
18,100.441472717,13.7522748199,15594.0
19,100.418633297,13.7506263367,15594.0
20,100.527961506,13.7522245241,15668.0
21,100.561361262,13.8431578946,15677.0
22,100.583669608,13.8421016037,15677.0
23,100.668300128,13.8243118787,15691.0
24,100.60812621,13.8392281244,15691.0
25,100.526686536,13.829422278,-9999.0
26,100.579764321,13.9169673853,-9999.0
27,100.486477187,13.7427943514,15691.0
28,100.511837693,13.7437205042,15681.0
29,100.423065678,13.7380094564,15595.0
30,100.585880078,13.7360766459,15684.0
31,100.510977362,13.7382068339,15681.0
32,100.600737579,13.7934808191,15671.0
33,100.620595798,13.7881933823,15671.0
34,100.428539617,13.7861848561,15594.0
35,100.474552446,13.7338966849,15691.0
36,100.565745619,13.8085226659,15677.0
37,100.638646785,13.8112652613,15691.0
38,100.878660927,13.7767131543,-9999.0
39,100.53021961,13.8106105983,-9999.0
40,100.498881145,13.7327783523,15691.0
41,100.520240658,13.7336035808,15681.0
42,100.517383748,13.7574561632,15668.0
43,100.587175618,13.9392492821,-9999.0
44,100.520598024,13.767802731,15668.0
45,100.643832442,13.7551040065,15671.0
46,100.463129537,13.7598434125,15688.0
47,100.523239584,13.7294329607,15681.0
48,100.514435465,13.7246085607,15681.0
49,100.723055462,13.8022867906,-9999.0
50,100.581233511,13.8193746013,15677.0
51,100.660654297,13.7936094857,15671.0
52,100.508703275,13.8001458031,-9999.0
53,100.585425012,13.7846089658,15651.0
54,100.505093404,13.731164719,15681.0
55,100.489966851,13.7305525625,15691.0
56,100.451837222,13.7285695496,15691.0
57,100.570753548,13.7228534241,15684.0
58,100.526549121,13.7417642048,15681.0
59,100.534862613,13.7403758155,15681.0
60,100.545509766,13.7362756101,15681.0
61,100.56093748,13.7429474334,15684.0
62,100.499016059,13.7439699805,15691.0
63,100.463278732,13.7217532981,15691.0
64,100.52542642,13.7266989228,15681.0
65,100.435247983,13.7235128788,15595.0
66,100.529100155,13.7239195509,15681.0
67,100.522621746,13.7890724785,15668.0
68,100.451589916,13.7908873626,15688.0
69,100.492534843,13.790006204,15688.0
70,100.544958214,13.7818865454,15668.0
71,100.508032368,13.7053301913,15681.0
72,100.689161824,13.6808165465,15597.0
73,100.576834796,13.7686950314,15651.0
74,100.481059963,13.7833887915,15688.0
75,100.484048614,13.7004388412,15691.0
76,100.416504326,13.6964336911,15548.0
77,100.393565878,13.6919475895,15570.0
78,100.449475682,13.6974544868,15548.0
79,100.611847331,13.695262471,15592.0
80,100.515160712,13.6939969888,15477.0
81,100.459862079,13.733080791,15691.0
82,100.445116934,13.7365795311,15595.0
83,100.503377964,13.7511174599,15668.0
84,100.560189609,13.7219170128,15684.0
85,100.477539303,13.7721640218,15688.0
86,100.504814581,13.7781125777,15668.0
87,100.492479855,13.7743228027,15688.0
88,100.512323168,13.772860755,15668.0
89,100.428371726,13.7671510721,15594.0
90,100.724758346,13.7517055582,15671.0
91,100.466588454,13.7726659787,15688.0
92,100.519718068,13.7445387648,15681.0
93,100.384527947,13.74061083,15588.0
94,100.512103222,13.7485519185,15681.0
95,100.499158189,13.7499474665,15691.0
96,100.628077493,13.7261563316,15630.0
97,100.493059194,13.7369182668,15691.0
98,100.513536164,13.7343560975,15681.0
99,100.514451544,13.7144691647,15681.0
100,100.491742507,13.7090301874,15691.0
101,100.504445335,13.7406006938,15681.0
102,100.526141963,13.7085286401,15681.0
103,100.513553471,13.7533301066,15668.0
104,100.497081401,13.7539650076,15688.0
105,100.506767949,13.751658507,15668.0
106,100.500224236,13.7534157783,15668.0
107,100.595281362,13.7070053136,15684.0
108,100.473382695,13.7150621001,15691.0
109,100.497435806,13.6959963973,15626.0
110,100.65581988,13.6868617778,15597.0
111,100.467796476,13.6929143136,15626.0
112,100.533442629,13.6791546693,15477.0
113,100.492041031,13.6749132553,15626.0
114,100.468010078,13.6710579613,15626.0
115,100.484612424,13.7135228111,15691.0
116,100.544139651,13.6970352359,15477.0
117,100.50462847,13.7235647686,15681.0
118,100.486129323,13.7226820305,15691.0
119,100.462095424,13.7092817056,15691.0
120,100.686534028,13.8178810341,15691.0
121,100.613777112,13.7685481626,15671.0
122,100.493106603,13.649535556,15576.0
