"","addrcode","date","hi","ci","bi"
"1",810405,"2017-06-01",18.75,5.495,20
"2",800409,"2017-06-01",17,3.18,17
"3",800904,"2017-06-01",25,4.51,27.5
"4",800912,"2017-06-01",15,8.95,42.5
"5",800903,"2017-06-01",17.5,3.93,22.5
"6",801104,"2017-06-01",24.25,4.035,24.25
"7",801003,"2017-06-01",20,6.22,30
"8",801701,"2017-06-01",10,1.61,10
"9",801704,"2017-06-01",10,1.14,10
"10",801702,"2017-06-01",7.5,0.83,7.5
"11",801302,"2017-06-01",10.25,4.38,39
"12",810115,"2017-05-01",25,7.19,25
"13",800907,"2017-05-01",17.5,2.68,17.5
"14",800910,"2017-05-01",17.5,4.6,23.75
"15",801107,"2017-05-01",15.5,2.47,15.5
"16",801001,"2017-05-01",15,7.32,22.5
"17",810205,"2017-04-01",12.5,9.6,72.5
"18",810115,"2017-04-01",17.5,12.85,57.5
"19",810504,"2017-04-01",12.5,11.06,55
"20",801503,"2017-04-01",15,8.63,60
"21",800801,"2017-04-01",12.5,8.11,45
"22",802101,"2017-04-01",15,7.52,60
"23",801003,"2017-04-01",20,10.3,85
"24",800203,"2017-04-01",10,6.51,47.5
"25",802002,"2017-04-01",10,8.17,42.5
"26",800305,"2017-04-01",22.5,13.48,107.5
"27",801402,"2017-04-01",10,6.21,45
"28",810115,"2017-03-01",7.5,6.52,22.5
"29",800706,"2017-03-01",8.75,3.51,33.125
"30",800904,"2017-03-01",17.5,8.78,45
"31",800909,"2017-03-01",20,2.67,12.5
"32",800912,"2017-03-01",27.5,6.29,33.75
"33",800910,"2017-03-01",15,4.48,22.5
"34",801003,"2017-03-01",20,4.74,22.5
"35",801701,"2017-03-01",7.5,0.82,7.5
"36",801702,"2017-03-01",7.5,0.86,7.5
"37",801302,"2017-03-01",11.25,4.69,42.5
"38",810304,"2017-02-01",20,8.2,25
"39",810205,"2017-02-01",15,10.65,77.5
"40",810407,"2017-02-01",20,6.085,16.25
"41",810405,"2017-02-01",5,1.71,5
"42",810115,"2017-02-01",12.5,8.21,27.5
"43",810702,"2017-02-01",15,3.19,15
"44",810504,"2017-02-01",7.5,5.81,25
"45",801503,"2017-02-01",20,10.21,72.5
"46",800409,"2017-02-01",23.33,2.98,23.33
"47",800710,"2017-02-01",11.67,6.48,49.17
"48",800913,"2017-02-01",15,3.1,20
"49",800909,"2017-02-01",25,4.01,27.5
"50",800912,"2017-02-01",60,11.18,92.5
"51",800910,"2017-02-01",17.5,4.64,27.5
"52",802101,"2017-02-01",20,8.28,67.5
"53",801003,"2017-02-01",22.5,12.38,100
"54",801701,"2017-02-01",7.5,0.79,7.5
"55",801704,"2017-02-01",7.5,0.8,7.5
"56",801702,"2017-02-01",5,0.5,5
"57",800203,"2017-02-01",12.5,7.02,52.5
"58",800502,"2017-02-01",18.75,2.53,18.75
"59",801302,"2017-02-01",10,4.76,42.5
"60",801402,"2017-02-01",12.5,7.51,55
"61",810115,"2017-01-01",22.5,13.01,40
"62",800409,"2017-01-01",17.5,2.16,17.5
"63",800708,"2017-01-01",10,8.11,60
"64",800710,"2017-01-01",10,4.95,46.25
"65",800709,"2017-01-01",13.75,4.85,47.5
"66",800711,"2017-01-01",7.5,4.44,40
"67",800705,"2017-01-01",12.5,4.96,47.5
"68",800913,"2017-01-01",50,23.18,135
"69",800907,"2017-01-01",27.5,10.33,62.5
"70",800904,"2017-01-01",75,28.57,195
"71",800909,"2017-01-01",30,10.6,57.5
"72",800912,"2017-01-01",42.5,10.68,52.5
"73",801104,"2017-01-01",32.5,3.235,32.5
"74",801701,"2017-01-01",7.5,0.85,7.5
"75",801702,"2017-01-01",5,0.61,5
"76",801703,"2017-01-01",7.5,0.79,7.5
"77",800502,"2017-01-01",20,2.11,20
"78",801904,"2016-12-01",12.5,4.89,42.5
"79",103005,"2016-12-01",0,0,0
"80",800409,"2016-12-01",15.19,2.2,15.19
"81",801107,"2016-12-01",16,2.48,16
"82",801701,"2016-12-01",7.5,0.82,7.5
"83",801704,"2016-12-01",5,0.63,5
"84",801702,"2016-12-01",5,0.59,5
"85",800502,"2016-12-01",20.83,2.38,20.83
"86",800705,"2016-11-01",5,2.32,20
"87",801104,"2016-11-01",14.17,2.14,14.17
"88",800710,"2016-10-01",11.25,6.29,40
"89",800703,"2016-10-01",7.5,2.58,22.5
"90",800705,"2016-10-01",5,2.01,17.5
"91",801107,"2016-10-01",15,2.24,15
"92",801104,"2016-10-01",20,3.01,20
"93",800409,"2016-09-01",11.67,1.2,11.67
"94",800703,"2016-09-01",15,4.4,38.75
"95",800705,"2016-09-01",12.5,7.54,47.5
"96",801107,"2016-09-01",10,1.15,10
"97",801701,"2016-09-01",7.5,0.68,7.5
"98",801704,"2016-09-01",7.5,0.72,7.5
"99",801702,"2016-09-01",5,0.66,5
"100",801703,"2016-09-01",10,1.09,10
"101",800502,"2016-09-01",8.75,0.81,8.75
"102",810402,"2016-08-01",15,6.06,25
"103",810403,"2016-08-01",18.75,5.55,20
"104",810803,"2016-08-01",8.335,2.86,16.665
"105",801904,"2016-08-01",9.58333333333333,3.27666666666667,26.6666666666667
"106",800409,"2016-08-01",10.83,1.76,10.83
"107",800708,"2016-08-01",7.5,1.88,17.5
"108",800707,"2016-08-01",12.5,4.4,37.5
"109",800709,"2016-08-01",10,2.98,26.25
"110",800703,"2016-08-01",12.5,6.045,43.75
"111",801107,"2016-08-01",15.675,2.6075,15.675
"112",801003,"2016-08-01",20,9.05,73.33
"113",801701,"2016-08-01",4.16666666666667,0.466666666666667,4.16666666666667
"114",801702,"2016-08-01",6.25,0.755,6.25
"115",800502,"2016-08-01",11.25,1.66,11.25
"116",810115,"2016-07-01",26.665,10.73,63.335
"117",800415,"2016-07-01",12.5,1.92,12.5
"118",800404,"2016-07-01",12.5,1.96666666666667,12.5
"119",800409,"2016-07-01",21.25,3.28,21.25
"120",800705,"2016-07-01",7.75,2.408,19
"121",801701,"2016-07-01",5.83333333333333,0.566666666666667,5.83333333333333
"122",801704,"2016-07-01",5,0.48,5
"123",801702,"2016-07-01",5,0.5,5
"124",801302,"2016-07-01",12.5,2.77,27.5
"125",810115,"2016-06-01",26.67,10.695,111.665
"126",730616,"2016-06-01",0,0,0
"127",800409,"2016-06-01",15.83,3.12,15.83
"128",800708,"2016-06-01",7.5,2.015,20
"129",800710,"2016-06-01",10.5,2.702,22.25
"130",801107,"2016-06-01",10.13,1.71,10.13
"131",801104,"2016-06-01",13.75,2.005,13.75
"132",801105,"2016-06-01",14.1666666666667,2.04,14.1666666666667
"133",801701,"2016-06-01",5.83333333333333,0.66,5.83333333333333
"134",801704,"2016-06-01",5,0.53,5
"135",801703,"2016-06-01",7.5,0.84,7.5
"136",800502,"2016-06-01",15,2.31,15
"137",800113,"2016-06-01",16.67,7.51,53.33
"138",800409,"2016-05-01",22.5,3.49,22.5
"139",800709,"2016-05-01",8,2.374,17.75
"140",801107,"2016-05-01",18.19,2.802,18.19
"141",801104,"2016-05-01",24.1666666666667,3.71,24.1666666666667
"142",801701,"2016-05-01",6.25,0.695,6.25
"143",801704,"2016-05-01",5,0.47,5
"144",801702,"2016-05-01",7.5,0.86,7.5
